,nodes,studio_x,studio_y,betweenness
5,Chris Sanders,Disney,dreamworks,11726.133535937637
3,Brenda Chapman,Disney,dreamworks,10058.595837962888
4,Brenda Chapman,pixar,dreamworks,10058.595837962888
14,Bonnie Arnold,Disney,dreamworks,9970.379223620861
15,Bonnie Arnold,pixar,dreamworks,9970.379223620861
0,Charles Perrault,Disney,dreamworks,9001.027012780378
7,Ted Elliott,Disney,dreamworks,6936.972815542253
8,Terry Rossio,Disney,dreamworks,6936.972815542253
9,Rob Minkoff,Disney,dreamworks,6709.279702122842
6,Kelly Asbury,Disney,dreamworks,5698.903801212479
2,Karey Kirkpatrick,Disney,dreamworks,4952.832562185149
10,Lorna Cook,Disney,dreamworks,4952.325022782476
19,William Joyce,Disney,dreamworks,4376.154780303667
21,Bradford Lewis,pixar,dreamworks,4339.982590548247
11,Philip LaZebnik,Disney,dreamworks,4063.0465343894843
13,Dean DeBlois,Disney,dreamworks,3768.986719908101
20,Kristina Reed,Disney,dreamworks,3584.5661088873867
12,Kendra Haaland,Disney,dreamworks,2659.79966119801
1,Jim Cox,Disney,dreamworks,2293.6211653337355
18,Michael Lucker,Disney,dreamworks,1612.4367446617105
16,Lorne Cameron,Disney,dreamworks,1404.8564406892292
17,David Hoselton,Disney,dreamworks,1404.8564406892292
