source,target,film,year,studio
John Lasseter,Pete Docter,ToyStory,1995,Pixar
John Lasseter,Andrew Stanton,ToyStory,1995,Pixar
John Lasseter,Joe Ranft,ToyStory,1995,Pixar
John Lasseter,Joss Whedon,ToyStory,1995,Pixar
John Lasseter,Joel Cohen,ToyStory,1995,Pixar
John Lasseter,Alec Sokolow,ToyStory,1995,Pixar
John Lasseter,Bonnie Arnold,ToyStory,1995,Pixar
John Lasseter,Ed Catmull,ToyStory,1995,Pixar
John Lasseter,Ralph Guggenheim,ToyStory,1995,Pixar
John Lasseter,Steve Jobs,ToyStory,1995,Pixar
Pete Docter,Andrew Stanton,ToyStory,1995,Pixar
Pete Docter,Joe Ranft,ToyStory,1995,Pixar
Pete Docter,Joss Whedon,ToyStory,1995,Pixar
Pete Docter,Joel Cohen,ToyStory,1995,Pixar
Pete Docter,Alec Sokolow,ToyStory,1995,Pixar
Pete Docter,Bonnie Arnold,ToyStory,1995,Pixar
Pete Docter,Ed Catmull,ToyStory,1995,Pixar
Pete Docter,Ralph Guggenheim,ToyStory,1995,Pixar
Pete Docter,Steve Jobs,ToyStory,1995,Pixar
Andrew Stanton,Joe Ranft,ToyStory,1995,Pixar
Andrew Stanton,Joss Whedon,ToyStory,1995,Pixar
Andrew Stanton,Joel Cohen,ToyStory,1995,Pixar
Andrew Stanton,Alec Sokolow,ToyStory,1995,Pixar
Andrew Stanton,Bonnie Arnold,ToyStory,1995,Pixar
Andrew Stanton,Ed Catmull,ToyStory,1995,Pixar
Andrew Stanton,Ralph Guggenheim,ToyStory,1995,Pixar
Andrew Stanton,Steve Jobs,ToyStory,1995,Pixar
Joe Ranft,Joss Whedon,ToyStory,1995,Pixar
Joe Ranft,Joel Cohen,ToyStory,1995,Pixar
Joe Ranft,Alec Sokolow,ToyStory,1995,Pixar
Joe Ranft,Bonnie Arnold,ToyStory,1995,Pixar
Joe Ranft,Ed Catmull,ToyStory,1995,Pixar
Joe Ranft,Ralph Guggenheim,ToyStory,1995,Pixar
Joe Ranft,Steve Jobs,ToyStory,1995,Pixar
Joss Whedon,Joel Cohen,ToyStory,1995,Pixar
Joss Whedon,Alec Sokolow,ToyStory,1995,Pixar
Joss Whedon,Bonnie Arnold,ToyStory,1995,Pixar
Joss Whedon,Ed Catmull,ToyStory,1995,Pixar
Joss Whedon,Ralph Guggenheim,ToyStory,1995,Pixar
Joss Whedon,Steve Jobs,ToyStory,1995,Pixar
Joel Cohen,Alec Sokolow,ToyStory,1995,Pixar
Joel Cohen,Bonnie Arnold,ToyStory,1995,Pixar
Joel Cohen,Ed Catmull,ToyStory,1995,Pixar
Joel Cohen,Ralph Guggenheim,ToyStory,1995,Pixar
Joel Cohen,Steve Jobs,ToyStory,1995,Pixar
Alec Sokolow,Bonnie Arnold,ToyStory,1995,Pixar
Alec Sokolow,Ed Catmull,ToyStory,1995,Pixar
Alec Sokolow,Ralph Guggenheim,ToyStory,1995,Pixar
Alec Sokolow,Steve Jobs,ToyStory,1995,Pixar
Bonnie Arnold,Ed Catmull,ToyStory,1995,Pixar
Bonnie Arnold,Ralph Guggenheim,ToyStory,1995,Pixar
Bonnie Arnold,Steve Jobs,ToyStory,1995,Pixar
Ed Catmull,Ralph Guggenheim,ToyStory,1995,Pixar
Ed Catmull,Steve Jobs,ToyStory,1995,Pixar
Ralph Guggenheim,Steve Jobs,ToyStory,1995,Pixar
John Lasseter,Andrew Stanton,BugsLife,1998,Pixar
John Lasseter,Joe Ranft,BugsLife,1998,Pixar
John Lasseter,Don McEnery,BugsLife,1998,Pixar
John Lasseter,Bob Shaw,BugsLife,1998,Pixar
John Lasseter,Darla K. Anderson,BugsLife,1998,Pixar
John Lasseter,Kevin Reher,BugsLife,1998,Pixar
Andrew Stanton,Joe Ranft,BugsLife,1998,Pixar
Andrew Stanton,Don McEnery,BugsLife,1998,Pixar
Andrew Stanton,Bob Shaw,BugsLife,1998,Pixar
Andrew Stanton,Darla K. Anderson,BugsLife,1998,Pixar
Andrew Stanton,Kevin Reher,BugsLife,1998,Pixar
Joe Ranft,Don McEnery,BugsLife,1998,Pixar
Joe Ranft,Bob Shaw,BugsLife,1998,Pixar
Joe Ranft,Darla K. Anderson,BugsLife,1998,Pixar
Joe Ranft,Kevin Reher,BugsLife,1998,Pixar
Don McEnery,Bob Shaw,BugsLife,1998,Pixar
Don McEnery,Darla K. Anderson,BugsLife,1998,Pixar
Don McEnery,Kevin Reher,BugsLife,1998,Pixar
Bob Shaw,Darla K. Anderson,BugsLife,1998,Pixar
Bob Shaw,Kevin Reher,BugsLife,1998,Pixar
Darla K. Anderson,Kevin Reher,BugsLife,1998,Pixar
John Lasseter,Ash Brannon,ToyStory2,1999,Pixar
