,source,target,film,year,studio
0,John Lasseter,Pete Docter,ToyStory,1995,Pixar
1,John Lasseter,Andrew Stanton,ToyStory,1995,Pixar
2,John Lasseter,Joe Ranft,ToyStory,1995,Pixar
3,John Lasseter,Joss Whedon,ToyStory,1995,Pixar
4,John Lasseter,Joel Cohen,ToyStory,1995,Pixar
5,John Lasseter,Alec Sokolow,ToyStory,1995,Pixar
6,John Lasseter,Bonnie Arnold,ToyStory,1995,Pixar
7,John Lasseter,Ed Catmull,ToyStory,1995,Pixar
8,John Lasseter,Ralph Guggenheim,ToyStory,1995,Pixar
9,John Lasseter,Steve Jobs,ToyStory,1995,Pixar
10,Pete Docter,Andrew Stanton,ToyStory,1995,Pixar
11,Pete Docter,Joe Ranft,ToyStory,1995,Pixar
12,Pete Docter,Joss Whedon,ToyStory,1995,Pixar
13,Pete Docter,Joel Cohen,ToyStory,1995,Pixar
14,Pete Docter,Alec Sokolow,ToyStory,1995,Pixar
15,Pete Docter,Bonnie Arnold,ToyStory,1995,Pixar
16,Pete Docter,Ed Catmull,ToyStory,1995,Pixar
17,Pete Docter,Ralph Guggenheim,ToyStory,1995,Pixar
18,Pete Docter,Steve Jobs,ToyStory,1995,Pixar
19,Andrew Stanton,Joe Ranft,ToyStory,1995,Pixar
20,Andrew Stanton,Joss Whedon,ToyStory,1995,Pixar
21,Andrew Stanton,Joel Cohen,ToyStory,1995,Pixar
22,Andrew Stanton,Alec Sokolow,ToyStory,1995,Pixar
23,Andrew Stanton,Bonnie Arnold,ToyStory,1995,Pixar
24,Andrew Stanton,Ed Catmull,ToyStory,1995,Pixar
25,Andrew Stanton,Ralph Guggenheim,ToyStory,1995,Pixar
26,Andrew Stanton,Steve Jobs,ToyStory,1995,Pixar
27,Joe Ranft,Joss Whedon,ToyStory,1995,Pixar
28,Joe Ranft,Joel Cohen,ToyStory,1995,Pixar
29,Joe Ranft,Alec Sokolow,ToyStory,1995,Pixar
30,Joe Ranft,Bonnie Arnold,ToyStory,1995,Pixar
31,Joe Ranft,Ed Catmull,ToyStory,1995,Pixar
32,Joe Ranft,Ralph Guggenheim,ToyStory,1995,Pixar
33,Joe Ranft,Steve Jobs,ToyStory,1995,Pixar
34,Joss Whedon,Joel Cohen,ToyStory,1995,Pixar
35,Joss Whedon,Alec Sokolow,ToyStory,1995,Pixar
36,Joss Whedon,Bonnie Arnold,ToyStory,1995,Pixar
37,Joss Whedon,Ed Catmull,ToyStory,1995,Pixar
38,Joss Whedon,Ralph Guggenheim,ToyStory,1995,Pixar
39,Joss Whedon,Steve Jobs,ToyStory,1995,Pixar
40,Joel Cohen,Alec Sokolow,ToyStory,1995,Pixar
41,Joel Cohen,Bonnie Arnold,ToyStory,1995,Pixar
42,Joel Cohen,Ed Catmull,ToyStory,1995,Pixar
43,Joel Cohen,Ralph Guggenheim,ToyStory,1995,Pixar
44,Joel Cohen,Steve Jobs,ToyStory,1995,Pixar
45,Alec Sokolow,Bonnie Arnold,ToyStory,1995,Pixar
46,Alec Sokolow,Ed Catmull,ToyStory,1995,Pixar
47,Alec Sokolow,Ralph Guggenheim,ToyStory,1995,Pixar
48,Alec Sokolow,Steve Jobs,ToyStory,1995,Pixar
49,Bonnie Arnold,Ed Catmull,ToyStory,1995,Pixar
50,Bonnie Arnold,Ralph Guggenheim,ToyStory,1995,Pixar
51,Bonnie Arnold,Steve Jobs,ToyStory,1995,Pixar
52,Ed Catmull,Ralph Guggenheim,ToyStory,1995,Pixar
53,Ed Catmull,Steve Jobs,ToyStory,1995,Pixar
54,Ralph Guggenheim,Steve Jobs,ToyStory,1995,Pixar
0,John Lasseter,Andrew Stanton,BugsLife,1998,Pixar
1,John Lasseter,Joe Ranft,BugsLife,1998,Pixar
2,John Lasseter,Don McEnery,BugsLife,1998,Pixar
3,John Lasseter,Bob Shaw,BugsLife,1998,Pixar
4,John Lasseter,Darla K. Anderson,BugsLife,1998,Pixar
5,John Lasseter,Kevin Reher,BugsLife,1998,Pixar
6,Andrew Stanton,Joe Ranft,BugsLife,1998,Pixar
7,Andrew Stanton,Don McEnery,BugsLife,1998,Pixar
8,Andrew Stanton,Bob Shaw,BugsLife,1998,Pixar
9,Andrew Stanton,Darla K. Anderson,BugsLife,1998,Pixar
10,Andrew Stanton,Kevin Reher,BugsLife,1998,Pixar
