,source,target,film,year,studio
0,Eric Darnell,Tim Johnson,Antz,1998,DreamWorks
1,Eric Darnell,Todd Alcott,Antz,1998,DreamWorks
2,Eric Darnell,Chris Weitz,Antz,1998,DreamWorks
3,Eric Darnell,Paul Weitz,Antz,1998,DreamWorks
4,Eric Darnell,Penney Finkelman Cox,Antz,1998,DreamWorks
5,Eric Darnell,Bradford Lewis,Antz,1998,DreamWorks
6,Eric Darnell,Sandra Rabins,Antz,1998,DreamWorks
7,Eric Darnell,Carl Rosendahl,Antz,1998,DreamWorks
8,Eric Darnell,Aron Warner,Antz,1998,DreamWorks
9,Eric Darnell,Patty Wooton,Antz,1998,DreamWorks
10,Tim Johnson,Todd Alcott,Antz,1998,DreamWorks
11,Tim Johnson,Chris Weitz,Antz,1998,DreamWorks
12,Tim Johnson,Paul Weitz,Antz,1998,DreamWorks
13,Tim Johnson,Penney Finkelman Cox,Antz,1998,DreamWorks
14,Tim Johnson,Bradford Lewis,Antz,1998,DreamWorks
15,Tim Johnson,Sandra Rabins,Antz,1998,DreamWorks
16,Tim Johnson,Carl Rosendahl,Antz,1998,DreamWorks
17,Tim Johnson,Aron Warner,Antz,1998,DreamWorks
18,Tim Johnson,Patty Wooton,Antz,1998,DreamWorks
19,Todd Alcott,Chris Weitz,Antz,1998,DreamWorks
20,Todd Alcott,Paul Weitz,Antz,1998,DreamWorks
21,Todd Alcott,Penney Finkelman Cox,Antz,1998,DreamWorks
22,Todd Alcott,Bradford Lewis,Antz,1998,DreamWorks
23,Todd Alcott,Sandra Rabins,Antz,1998,DreamWorks
24,Todd Alcott,Carl Rosendahl,Antz,1998,DreamWorks
25,Todd Alcott,Aron Warner,Antz,1998,DreamWorks
26,Todd Alcott,Patty Wooton,Antz,1998,DreamWorks
27,Chris Weitz,Paul Weitz,Antz,1998,DreamWorks
28,Chris Weitz,Penney Finkelman Cox,Antz,1998,DreamWorks
29,Chris Weitz,Bradford Lewis,Antz,1998,DreamWorks
30,Chris Weitz,Sandra Rabins,Antz,1998,DreamWorks
31,Chris Weitz,Carl Rosendahl,Antz,1998,DreamWorks
32,Chris Weitz,Aron Warner,Antz,1998,DreamWorks
33,Chris Weitz,Patty Wooton,Antz,1998,DreamWorks
34,Paul Weitz,Penney Finkelman Cox,Antz,1998,DreamWorks
35,Paul Weitz,Bradford Lewis,Antz,1998,DreamWorks
36,Paul Weitz,Sandra Rabins,Antz,1998,DreamWorks
37,Paul Weitz,Carl Rosendahl,Antz,1998,DreamWorks
38,Paul Weitz,Aron Warner,Antz,1998,DreamWorks
39,Paul Weitz,Patty Wooton,Antz,1998,DreamWorks
40,Penney Finkelman Cox,Bradford Lewis,Antz,1998,DreamWorks
41,Penney Finkelman Cox,Sandra Rabins,Antz,1998,DreamWorks
42,Penney Finkelman Cox,Carl Rosendahl,Antz,1998,DreamWorks
43,Penney Finkelman Cox,Aron Warner,Antz,1998,DreamWorks
44,Penney Finkelman Cox,Patty Wooton,Antz,1998,DreamWorks
45,Bradford Lewis,Sandra Rabins,Antz,1998,DreamWorks
46,Bradford Lewis,Carl Rosendahl,Antz,1998,DreamWorks
47,Bradford Lewis,Aron Warner,Antz,1998,DreamWorks
48,Bradford Lewis,Patty Wooton,Antz,1998,DreamWorks
49,Sandra Rabins,Carl Rosendahl,Antz,1998,DreamWorks
50,Sandra Rabins,Aron Warner,Antz,1998,DreamWorks
51,Sandra Rabins,Patty Wooton,Antz,1998,DreamWorks
52,Carl Rosendahl,Aron Warner,Antz,1998,DreamWorks
53,Carl Rosendahl,Patty Wooton,Antz,1998,DreamWorks
54,Aron Warner,Patty Wooton,Antz,1998,DreamWorks
0,Brenda Chapman,Steve Hickner,PrinceEgypt,1998,DreamWorks
1,Brenda Chapman,Simon Wells,PrinceEgypt,1998,DreamWorks
2,Brenda Chapman,Philip LaZebnik,PrinceEgypt,1998,DreamWorks
3,Brenda Chapman,Nicholas Meyer,PrinceEgypt,1998,DreamWorks
4,Brenda Chapman,Penney Finkelman Cox,PrinceEgypt,1998,DreamWorks
5,Brenda Chapman,P.J. Hanke,PrinceEgypt,1998,DreamWorks
6,Brenda Chapman,Jeffrey Katzenberg,PrinceEgypt,1998,DreamWorks
7,Brenda Chapman,Linda Olszewski,PrinceEgypt,1998,DreamWorks
8,Brenda Chapman,Sandra Rabins,PrinceEgypt,1998,DreamWorks
