,0,studio
"('SnowWhite', 0)",William Cottrell,Disney
"('SnowWhite', 1)",David Hand,Disney
"('SnowWhite', 2)",Wilfred Jackson,Disney
"('SnowWhite', 3)",Larry Morey,Disney
"('SnowWhite', 4)",Perce Pearce,Disney
"('SnowWhite', 5)",Ben Sharpsteen,Disney
"('SnowWhite', 6)",Jacob Grimm,Disney
"('SnowWhite', 7)",Wilhelm Grimm,Disney
"('SnowWhite', 8)",Ted Sears,Disney
"('SnowWhite', 9)",Richard Creedon,Disney
"('SnowWhite', 10)",Otto Englander,Disney
"('SnowWhite', 11)",Dick Rickard,Disney
"('SnowWhite', 12)",Earl Hurd,Disney
"('SnowWhite', 13)",Merrill De Maris,Disney
"('SnowWhite', 14)",Dorothy Ann Blank,Disney
"('SnowWhite', 15)",Webb Smith,Disney
"('SnowWhite', 16)",Walt Disney,Disney
"('Pinocchio', 0)",Norman Ferguson,Disney
"('Pinocchio', 1)",T. Hee,Disney
"('Pinocchio', 3)",Jack Kinney,Disney
"('Pinocchio', 4)",Hamilton Luske,Disney
"('Pinocchio', 5)",Bill Roberts,Disney
"('Pinocchio', 7)",Carlo Collodi,Disney
"('Pinocchio', 12)",Joseph Sabo,Disney
"('Pinocchio', 13)",Erdman Penner,Disney
"('Pinocchio', 14)",Aurelius Battaglia,Disney
"('Pinocchio', 15)",Bill Peet,Disney
"('Fantasia', 0)",James Algar,Disney
"('Fantasia', 1)",Samuel Armstrong,Disney
"('Fantasia', 2)",Ford Beebe Jr.,Disney
"('Fantasia', 5)",Jim Handley,Disney
"('Fantasia', 10)",Paul Satterfield,Disney
"('Fantasia', 12)",Joe Grant,Disney
"('Fantasia', 13)",Dick Huemer,Disney
"('Fantasia', 14)",Lee Blair,Disney
"('Fantasia', 15)",Elmer Plummer,Disney
"('Fantasia', 16)",Phil Dike,Disney
"('Fantasia', 17)",Sylvia Moberly-Holland,Disney
"('Fantasia', 18)",Norman Wright,Disney
"('Fantasia', 19)",Albert Heath,Disney
"('Fantasia', 20)",Bianca Majolie,Disney
"('Fantasia', 21)",Graham Heid,Disney
"('Fantasia', 23)",Carl Fallberg,Disney
"('Fantasia', 24)",William Martin,Disney
"('Fantasia', 25)",Leo Thiele,Disney
"('Fantasia', 26)",Robert Sterner,Disney
"('Fantasia', 27)",John McLeish,Disney
"('Fantasia', 33)",Vernon Stallings,Disney
"('Fantasia', 34)",Campbell Grant,Disney
"('Fantasia', 35)",Arthur Heinemann,Disney
"('Dumbo', 6)",John Elliotte,Disney
"('Dumbo', 12)",Joe Rinaldi,Disney
"('Dumbo', 15)",Helen Aberson,Disney
"('Dumbo', 16)",Harold Pearl,Disney
"('Bambi', 7)",Arthur Davis,Disney
"('Bambi', 8)",Clyde Geronimi,Disney
"('Bambi', 9)",Felix Salten,Disney
"('Bambi', 13)",Mel Shaw,Disney
"('Bambi', 15)",Chuck Couch,Disney
"('Bambi', 16)",Ralph Wright,Disney
"('Saludos', 7)",Homer Brightman,Disney
"('Saludos', 9)",Roy Williams,Disney
"('Saludos', 10)",Harry Reeves,Disney
"('Caballeros', 4)",Harold Young,Disney
"('Caballeros', 6)",Ernest Terrazas,Disney
"('Caballeros', 13)",Del Connell,Disney
"('Caballeros', 14)",James Bodrero,Disney
"('MakeMine', 0)",Robert Cormack,Disney
"('MakeMine', 4)",Joshua Meador,Disney
"('MakeMine', 7)",Dick Kinney,Disney
"('MakeMine', 8)",John Walbridge,Disney
"('MakeMine', 9)",Tom Oreb,Disney
"('MakeMine', 10)",Dick Shaw,Disney
"('MakeMine', 11)",Eric Gurney,Disney
"('MakeMine', 15)",Dick Kelsey,Disney
"('MakeMine', 18)",Jesse Marsh,Disney
"('MakeMine', 19)",Erwin Graham,Disney
"('FunFancy', 3)",Lance Nolley,Disney
"('FunFancy', 4)",Eldon Dedini,Disney
"('FunFancy', 6)",Sinclair Lewis,Disney
"('FunFancy', 7)",Frank Tashlin,Disney
"('MelodyTime', 4)",Winston Hibler,Disney
"('MelodyTime', 8)",Ken Anderson,Disney
"('MelodyTime', 12)",Art Scott,Disney
"('MelodyTime', 14)",Bob Moore,Disney
"('MelodyTime', 16)",Hardie Gramatky,Disney
"('MrToad', 3)",Washington Irving,Disney
"('MrToad', 4)",Kenneth Grahame,Disney
"('Cinderella', 3)",Charles Perrault,Disney
"('Cinderella', 12)",Maurice Rapf,Disney
"('Cinderella', 13)",Amy Bailey,Disney
"('Alice', 3)",Lewis Carroll,Disney
"('Alice', 9)",Milt Banta,Disney
"('Alice', 17)",Aldous Huxley,Disney
"('PeterPan', 4)",J.M. Barrie,Disney
"('Tramp', 3)",Ward Greene,Disney
"('Tramp', 7)",Don DaGradi,Disney
"('Tramp', 10)",Louis Pollock,Disney
"('Tramp', 12)",Sam Cobean,Disney
"('Dalmatians', 2)",Wolfgang Reitherman,Disney
"('Dalmatians', 4)",Dodie Smith,Disney
"('SwordStone', 2)",T.H. White,Disney
"('JungleBook', 1)",Larry Clemmons,Disney
"('JungleBook', 4)",Vance Gerry,Disney
"('JungleBook', 5)",Rudyard Kipling,Disney
"('Aristocrats', 4)",Frank Thomas,Disney
"('Aristocrats', 5)",Eric Cleworth,Disney
"('Aristocrats', 6)",Julius Svendsen,Disney
"('Aristocrats', 8)",Tom McGowan,Disney
"('Aristocrats', 9)",Tom Rowe,Disney
"('RobinHood', 8)",David Michener,Disney
"('Pooh', 0)",John Lounsbery,Disney
"('Pooh', 2)",A.A. Milne,Disney
"('Pooh', 6)",Xavier Atencio,Disney
"('Pooh', 9)",Ted Berman,Disney
"('Rescuers', 2)",Art Stevens,Disney
"('Rescuers', 3)",Margery Sharp,Disney
"('Rescuers', 10)",Fred Lucky,Disney
"('Rescuers', 11)",Burny Mattinson,Disney
"('Rescuers', 12)",Dick Sebast,Disney
"('Rescuers', 13)",Ron Miller,Disney
"('FoxHound', 1)",Richard Rich,Disney
"('FoxHound', 3)",Daniel P. Mannix,Disney
"('FoxHound', 7)",Peter Young,Disney
"('FoxHound', 9)",Steve Hulett,Disney
"('FoxHound', 10)",Earl Kress,Disney
"('BlackCauldron', 2)",Lloyd Alexander,Disney
"('BlackCauldron', 3)",David Jonas,Disney
"('BlackCauldron', 7)",Al Wilson,Disney
"('BlackCauldron', 8)",Roy Morita,Disney
"('BlackCauldron', 11)",Joe Hale,Disney
"('BlackCauldron', 12)",Rosemary Anne Sisson,Disney
"('BlackCauldron', 13)",Roy Edward Disney,Disney
"('BlackCauldron', 14)",Tony Marino,Disney
"('BlackCauldron', 18)",John Musker,Disney
"('BlackCauldron', 19)",Ron Clements,Disney
"('BlackCauldron', 20)",Doug Lefler,Disney
"('MouseDetective', 9)",Bruce Morris,Disney
"('MouseDetective', 10)",Matthew O'Callaghan,Disney
"('MouseDetective', 14)",Eve Titus,Disney
"('MouseDetective', 15)",Paul Galdone,Disney
"('MouseDetective', 16)",Arthur Conan Doyle,Disney
"('Oliver', 0)",George Scribner,Disney
"('Oliver', 1)",Jim Cox,Disney
"('Oliver', 2)",Tim Disney,Disney
