,0,studio
"('Antz', 0)",Eric Darnell,dreamworks
"('Antz', 1)",Tim Johnson,dreamworks
"('Antz', 2)",Todd Alcott,dreamworks
"('Antz', 3)",Chris Weitz,dreamworks
"('Antz', 4)",Paul Weitz,dreamworks
"('Antz', 5)",Penney Finkelman Cox,dreamworks
"('Antz', 6)",Bradford Lewis,dreamworks
"('Antz', 7)",Sandra Rabins,dreamworks
"('Antz', 8)",Carl Rosendahl,dreamworks
"('Antz', 9)",Aron Warner,dreamworks
"('Antz', 10)",Patty Wooton,dreamworks
"('PrinceEgypt', 0)",Brenda Chapman,dreamworks
"('PrinceEgypt', 1)",Steve Hickner,dreamworks
"('PrinceEgypt', 2)",Simon Wells,dreamworks
"('PrinceEgypt', 3)",Philip LaZebnik,dreamworks
"('PrinceEgypt', 4)",Nicholas Meyer,dreamworks
"('PrinceEgypt', 6)",P.J. Hanke,dreamworks
"('PrinceEgypt', 7)",Jeffrey Katzenberg,dreamworks
"('PrinceEgypt', 8)",Linda Olszewski,dreamworks
"('PrinceEgypt', 10)",Ron Rocha,dreamworks
"('PrinceEgypt', 11)",R. Don Smith,dreamworks
"('ElDorado', 0)",Bibo Bergeron,dreamworks
"('ElDorado', 1)",Don Paul,dreamworks
"('ElDorado', 3)",Terry Rossio,dreamworks
"('ElDorado', 4)",Ted Elliott,dreamworks
"('ElDorado', 5)",Karey Kirkpatrick,dreamworks
"('ElDorado', 6)",Dino Athanassiou,dreamworks
"('ElDorado', 7)",Brooke Breton,dreamworks
"('ElDorado', 8)",Bill Damaschke,dreamworks
"('ElDorado', 10)",Bonne Radford,dreamworks
"('ChikRun', 0)",Peter Lord,dreamworks
"('ChikRun', 1)",Nick Park,dreamworks
"('ChikRun', 5)",Mark Burton,dreamworks
"('ChikRun', 6)",John O'Farrell,dreamworks
"('ChikRun', 7)",Jake Eberts,dreamworks
"('ChikRun', 11)",Jacky Priddle,dreamworks
"('ChikRun', 12)",Michael Rose,dreamworks
"('ChikRun', 13)",Carla Shelley,dreamworks
"('ChikRun', 14)",David Sproxton,dreamworks
"('ChikRun', 15)",Lenny Young,dreamworks
"('Shrek', 0)",Andrew Adamson,dreamworks
"('Shrek', 1)",Vicky Jenson,dreamworks
"('Shrek', 2)",William Steig,dreamworks
"('Shrek', 5)",Joe Stillman,dreamworks
"('Shrek', 6)",Roger S.H. Schulman,dreamworks
"('Shrek', 7)",Cody Cameron,dreamworks
"('Shrek', 8)",Chris Miller,dreamworks
"('Shrek', 9)",Conrad Vernon,dreamworks
"('Shrek', 12)",Jane Hartwell,dreamworks
"('Shrek', 14)",David Lipman,dreamworks
"('Shrek', 18)",John H. Williams,dreamworks
"('Shrek', 20)",Steven Spielberg,dreamworks
"('Stallion', 0)",Kelly Asbury,dreamworks
"('Stallion', 1)",Lorna Cook,dreamworks
"('Stallion', 2)",John Fusco,dreamworks
"('Stallion', 3)",Michael Lucker,dreamworks
"('Stallion', 5)",Max Howard,dreamworks
"('Stallion', 7)",Mireille Soria,dreamworks
"('Sinbad', 0)",Patrick Gilmore,dreamworks
"('Sinbad', 2)",John Logan,dreamworks
"('Sinbad', 4)",Jill Hopper,dreamworks
"('Shrek2', 7)",J. David Stem,dreamworks
"('Shrek2', 8)",David N. Weiss,dreamworks
"('Shrek2', 10)",Walt Dohrn,dreamworks
"('Shrek2', 12)",David P. Smith,dreamworks
"('SharkTale', 2)",Rob Letterman,dreamworks
"('SharkTale', 3)",Michael J. Wilson,dreamworks
"('SharkTale', 5)",Scott Aukerman,dreamworks
"('SharkTale', 6)",Alec Berg,dreamworks
"('SharkTale', 7)",Sean Bishop,dreamworks
"('SharkTale', 8)",BJ Porter,dreamworks
"('SharkTale', 9)",Jeff Schaffer,dreamworks
"('SharkTale', 10)",Lona Williams,dreamworks
"('SharkTale', 12)",David Soren,dreamworks
"('SharkTale', 14)",Janet Healy,dreamworks
"('SharkTale', 16)",Allison Lyon Segan,dreamworks
"('SharkTale', 17)",Mark Swift,dreamworks
"('Madagascar', 1)",Tom McGrath,dreamworks
"('Madagascar', 3)",Billy Frolick,dreamworks
"('Madagascar', 6)",Teresa Cheng,dreamworks
"('Wallace', 0)",Steve Box,dreamworks
"('Wallace', 5)",Bob Baker,dreamworks
"('Wallace', 7)",Claire Jennings,dreamworks
"('Wallace', 8)",Cecil Kramer,dreamworks
"('OverHedge', 2)",Len Blum,dreamworks
"('OverHedge', 3)",Lorne Cameron,dreamworks
"('OverHedge', 4)",David Hoselton,dreamworks
"('OverHedge', 6)",Michael Fry,dreamworks
"('OverHedge', 7)",T. Lewis,dreamworks
"('OverHedge', 8)",Chris Poche,dreamworks
"('OverHedge', 9)",Mike de Seve,dreamworks
"('OverHedge', 10)",Eric Forsberg,dreamworks
"('OverHedge', 11)",Bonnie Arnold,dreamworks
"('OverHedge', 12)",Ellen Coss,dreamworks
"('OverHedge', 13)",Jim Cox,dreamworks
"('OverHedge', 15)",Christian Kubsch,dreamworks
"('FlushedAway', 0)",David Bowers,dreamworks
"('FlushedAway', 1)",Sam Fell,dreamworks
"('FlushedAway', 2)",Dick Clement,dreamworks
"('FlushedAway', 3)",Ian La Frenais,dreamworks
"('FlushedAway', 4)",Christopher Lloyd,dreamworks
"('FlushedAway', 5)",Joe Keenan,dreamworks
"('FlushedAway', 6)",William Davies,dreamworks
"('FlushedAway', 11)",Maryann Garger,dreamworks
"('FlushedAway', 14)",Steve Pegram,dreamworks
"('Shrek3', 1)",Raman Hui,dreamworks
"('Shrek3', 2)",Jeffrey Price,dreamworks
"('Shrek3', 3)",Peter S. Seaman,dreamworks
"('Shrek3', 13)",Denise Nolan Cascino,dreamworks
"('BeeMovie', 0)",Simon J. Smith,dreamworks
"('BeeMovie', 2)",Jerry Seinfeld,dreamworks
"('BeeMovie', 3)",Spike Feresten,dreamworks
"('BeeMovie', 4)",Barry Marder,dreamworks
"('BeeMovie', 5)",Andy Robin,dreamworks
"('BeeMovie', 6)",Chuck Martin,dreamworks
"('BeeMovie', 7)",Tom Papa,dreamworks
"('BeeMovie', 9)",Christina Steinberg,dreamworks
"('BeeMovie', 10)",Cameron Stevning,dreamworks
"('KungFuPanda', 0)",Mark Osborne,dreamworks
"('KungFuPanda', 1)",John Stevenson,dreamworks
"('KungFuPanda', 2)",Jonathan Aibel,dreamworks
"('KungFuPanda', 3)",Glenn Berger,dreamworks
"('KungFuPanda', 4)",Ethan Reiff,dreamworks
"('KungFuPanda', 5)",Cyrus Voris,dreamworks
"('KungFuPanda', 8)",Melissa Cobb,dreamworks
"('KungFuPanda', 10)",Lorne Orleans,dreamworks
"('KungFuPanda', 11)",Kristina Reed,dreamworks
"('Madagascar2', 2)",Etan Cohen,dreamworks
"('Madagascar2', 7)",Lisa J. Freberg,dreamworks
"('Monsters', 2)",Maya Forbes,dreamworks
"('Monsters', 3)",Wallace Wolodarsky,dreamworks
"('Monsters', 11)",Latifa Ouaou,dreamworks
"('Monsters', 12)",Susan Slagle Rogers,dreamworks
"('Monsters', 13)",Lisa Stewart,dreamworks
"('Monsters', 14)",Alexander Westerman,dreamworks
"('TrainDragon', 0)",Dean DeBlois,dreamworks
"('TrainDragon', 1)",Chris Sanders,dreamworks
"('TrainDragon', 5)",Cressida Cowell,dreamworks
"('TrainDragon', 6)",Marc Hyman,dreamworks
"('TrainDragon', 7)",Adam F. Goldberg,dreamworks
"('TrainDragon', 9)",Kristine Belson,dreamworks
"('TrainDragon', 10)",Suzanne Buirgy,dreamworks
"('TrainDragon', 11)",Michael A. Connolly,dreamworks
"('TrainDragon', 12)",Doug Davison,dreamworks
"('TrainDragon', 13)",Karen Foster,dreamworks
"('TrainDragon', 15)",Roy Lee,dreamworks
"('TrainDragon', 16)",Bruce Seifert,dreamworks
"('ShrekForever', 0)",Mike Mitchell,dreamworks
"('ShrekForever', 2)",Josh Klausner,dreamworks
"('ShrekForever', 3)",Darren Lemke,dreamworks
"('ShrekForever', 8)",Matt Shire,dreamworks
"('ShrekForever', 10)",Alejandro Bien-Willner,dreamworks
"('ShrekForever', 13)",Patty Kaku,dreamworks
"('ShrekForever', 14)",Gina Shay,dreamworks
"('Megamind', 1)",Alan Schoolcraft,dreamworks
