,0,studio
"('ToyStory', 0)",John Lasseter,pixar
"('ToyStory', 2)",Pete Docter,pixar
"('ToyStory', 3)",Andrew Stanton,pixar
"('ToyStory', 4)",Joe Ranft,pixar
"('ToyStory', 5)",Joss Whedon,pixar
"('ToyStory', 7)",Joel Cohen,pixar
"('ToyStory', 8)",Alec Sokolow,pixar
"('ToyStory', 9)",Bonnie Arnold,pixar
"('ToyStory', 10)",Ed Catmull,pixar
"('ToyStory', 11)",Ralph Guggenheim,pixar
"('ToyStory', 12)",Steve Jobs,pixar
"('BugsLife', 6)",Don McEnery,pixar
"('BugsLife', 7)",Bob Shaw,pixar
"('BugsLife', 8)",Darla K. Anderson,pixar
"('BugsLife', 9)",Kevin Reher,pixar
"('ToyStory2', 1)",Ash Brannon,pixar
"('ToyStory2', 2)",Lee Unkrich,pixar
"('ToyStory2', 8)",Rita Hsiao,pixar
"('ToyStory2', 9)",Doug Chamberlin,pixar
"('ToyStory2', 10)",Chris Webb,pixar
"('ToyStory2', 11)",Karen Robert Jackson,pixar
"('ToyStory2', 12)",Sarah McArthur,pixar
"('ToyStory2', 13)",Helene Plotkin,pixar
"('MonsterInc', 1)",David Silverman,pixar
"('MonsterInc', 4)",Jill Culton,pixar
"('MonsterInc', 5)",Jeff Pidgeon,pixar
"('MonsterInc', 6)",Ralph Eggleston,pixar
"('MonsterInc', 8)",Daniel Gerson,pixar
"('MonsterInc', 9)",Bob Peterson,pixar
"('MonsterInc', 12)",Robert L. Baird,pixar
"('MonsterInc', 13)",Rhett Reese,pixar
"('MonsterInc', 14)",Jonathan Roberts,pixar
"('MonsterInc', 16)",Karen Dufilho-Rosen,pixar
"('MonsterInc', 18)",Kori Rae,pixar
"('FindNemo', 5)",David Reynolds,pixar
"('FindNemo', 6)",Jinko Gotoh,pixar
"('FindNemo', 8)",Bradford Lewis,pixar
"('FindNemo', 9)",Graham Walters,pixar
"('Incred', 0)",Brad Bird,pixar
"('Incred', 4)",Katherine Sarafian,pixar
"('Incred', 5)",John Walker,pixar
"('Cars', 4)",Jorgen Klubien,pixar
"('Cars', 5)",Dan Fogelman,pixar
"('Cars', 8)",Kiel Murray,pixar
"('Cars', 9)",Phil Lorin,pixar
"('Cars', 11)",Steve Purcell,pixar
"('Cars', 13)",Thomas Porter,pixar
"('Ratat', 1)",Jan Pinkava,pixar
"('Ratat', 4)",Jim Capobianco,pixar
"('Ratat', 6)",Emily Cook,pixar
"('Ratat', 7)",Kathy Greenberg,pixar
"('Ratat', 12)",Galyn Susman,pixar
"('Up', 4)",Tom McCarthy,pixar
"('Up', 9)",Denise Ream,pixar
"('Up', 10)",Jonas Rivera,pixar
"('WallE', 4)",Jim Reardon,pixar
"('WallE', 5)",Lindsey Collins,pixar
"('WallE', 7)",Gillian Libbert,pixar
"('WallE', 8)",Chris Montan,pixar
"('WallE', 9)",Jim Morris,pixar
"('ToyStory3', 4)",Michael Arndt,pixar
"('ToyStory3', 7)",Nicole Paradis Grindle,pixar
"('Cars2', 5)",Ben Queen,pixar
"('Cars2', 6)",Mark Nielsen,pixar
"('Brave', 0)",Mark Andrews,pixar
"('Brave', 1)",Brenda Chapman,pixar
"('Brave', 7)",Irene Mecchi,pixar
"('Brave', 9)",Mary Alice Drumm,pixar
"('MonsU', 0)",Dan Scanlon,pixar
"('MonsU', 7)",Adrian Molina,pixar
"('InsideOut', 1)",Ronnie Del Carmen,pixar
"('InsideOut', 5)",Meg LeFauve,pixar
"('InsideOut', 6)",Josh Cooley,pixar
"('InsideOut', 8)",Simon Rich,pixar
"('InsideOut', 9)",Bill Hader,pixar
"('InsideOut', 10)",Amy Poehler,pixar
"('GoodDino', 0)",Peter Sohn,pixar
"('GoodDino', 3)",Erik Benson,pixar
"('GoodDino', 5)",Kelsey Mann,pixar
"('GoodDino', 8)",Peter Hedges,pixar
"('FindDory', 1)",Angus MacLane,pixar
"('FindDory', 4)",Victoria Strouse,pixar
"('FindDory', 9)",Bob Roath,pixar
"('Cars3', 0)",Brian Fee,pixar
"('Cars3', 3)",Eyal Podell,pixar
"('Cars3', 4)",Jonathon E. Stewart,pixar
"('Cars3', 7)",Mike Rich,pixar
"('Cars3', 8)",Scott Morse,pixar
"('Cars3', 11)",Andrea Warren,pixar
"('CoCo', 3)",Jason Katz,pixar
"('CoCo', 4)",Matthew Aldrich,pixar
"('ToyStory4', 4)",Valerie LaPointe,pixar
"('ToyStory4', 5)",Rashida Jones,pixar
"('ToyStory4', 6)",Will McCormack,pixar
"('ToyStory4', 7)",Martin Hynes,pixar
"('ToyStory4', 8)",Stephany Folsom,pixar
